keyword	low_search_volume	YEAR	VAR	VAL	n	hits_min	hits_mean	hits_median	hits_max	hits_sum	hits_asinh_mean	hits_asinh_sum	UID
Netherlands	TRUE	2007	REGION_WB	South Asia	8	6	23.375	14.5	75	187	3.543	28.342	5ef2b140-90bb-4f15-b841-01c7328635e6
Netherlands	TRUE	2007	REGION_WB	Sub-Saharan Africa	49	0	19	6	100	931	2.311	113.236	5ef2b140-90bb-4f15-b841-01c7328635e6
Netherlands	TRUE	2007	REGION_WB		17	0	1.059	0	12	18	0.442	7.5120000000000005	5ef2b140-90bb-4f15-b841-01c7328635e6
Amsterdam	FALSE	2008	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	FALSE	2008	REGION_WB	East Asia & Pacific	43	0	0.14	0	2	6	0.117	5.0489999999999995	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	FALSE	2008	REGION_WB	Europe & Central Asia	60	0	2.933	0	100	176	0.779	46.712	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	FALSE	2008	REGION_WB	Latin America & Caribbean	46	0	0.043	0	1	2	0.04	1.843	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	FALSE	2008	REGION_WB	Middle East & North Africa	22	0	0.182	0	2	4	0.131	2.888	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	FALSE	2008	REGION_WB	North America	4	0	0.5	0.5	1	2	0.44	1.762	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	FALSE	2008	REGION_WB	South Asia	8	0	0.125	0	1	1	0.11	0.881	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	FALSE	2008	REGION_WB	Sub-Saharan Africa	49	0	0.041	0	2	2	0.029	1.444	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	FALSE	2008	REGION_WB		17	0	0	0	0	0	0	0	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	TRUE	2008	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	TRUE	2008	REGION_WB	East Asia & Pacific	43	0	0.686	0.5	4	29.5	0.544	23.383	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	TRUE	2008	REGION_WB	Europe & Central Asia	60	0	4.1	2	100	246	1.467	88.006	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	TRUE	2008	REGION_WB	Latin America & Caribbean	46	0	1.576	1	20	72.5	0.785	36.129	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	TRUE	2008	REGION_WB	Middle East & North Africa	22	0	1.114	1	5	24.5	0.841	18.503	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	TRUE	2008	REGION_WB	North America	4	0	1.25	1	3	5	0.895	3.58	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	TRUE	2008	REGION_WB	South Asia	8	1	1.25	1	2	10	1.022	8.174	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	TRUE	2008	REGION_WB	Sub-Saharan Africa	49	0	1.316	1	6	64.5	0.87	42.612	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	TRUE	2008	REGION_WB		17	0	1.059	0	7	18	0.561	9.541	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	FALSE	2008	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	FALSE	2008	REGION_WB	East Asia & Pacific	43	0	1.721	0	10	74	0.675	29.044999999999998	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	FALSE	2008	REGION_WB	Europe & Central Asia	60	0	3.717	1	66	223	1.158	69.485	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	FALSE	2008	REGION_WB	Latin America & Caribbean	46	0	0.087	0	1	4	0.077	3.524	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	FALSE	2008	REGION_WB	Middle East & North Africa	22	0	1.091	0	10	24	0.485	10.667	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	FALSE	2008	REGION_WB	North America	4	0	3.5	3	8	14	1.317	5.268	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	FALSE	2008	REGION_WB	South Asia	8	0	2.5	0	10	20	0.75	5.996	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	FALSE	2008	REGION_WB	Sub-Saharan Africa	49	0	6.755	0	100	331	0.555	27.181	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	FALSE	2008	REGION_WB		17	0	0	0	0	0	0	0	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	TRUE	2008	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	TRUE	2008	REGION_WB	East Asia & Pacific	43	0	6.581	3	53	283	1.654	71.125	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	TRUE	2008	REGION_WB	Europe & Central Asia	60	0	7.35	5	66	441	2.127	127.636	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	TRUE	2008	REGION_WB	Latin America & Caribbean	46	0	8.13	2.5	78	374	1.807	83.125	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	TRUE	2008	REGION_WB	Middle East & North Africa	22	0	5.091	4.5	17	112	2.066	45.459	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	TRUE	2008	REGION_WB	North America	4	0	7.25	7	15	29	2.167	8.67	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	TRUE	2008	REGION_WB	South Asia	8	8	20.375	12.5	57	163	3.482	27.858	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	TRUE	2008	REGION_WB	Sub-Saharan Africa	49	0	21.388	10	100	1048	2.518	123.359	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Netherlands	TRUE	2008	REGION_WB		17	0	1.588	0	13	27	0.537	9.129	44a47b9f-d04e-48ca-a8cc-e33cd3bc4acc
Amsterdam	FALSE	2009	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	FALSE	2009	REGION_WB	East Asia & Pacific	43	0	0.081	0	1	3.5	0.073	3.124	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	FALSE	2009	REGION_WB	Europe & Central Asia	60	0	2.717	0	100	163	0.706	42.385	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	FALSE	2009	REGION_WB	Latin America & Caribbean	46	0	0.033	0	0.5	1.5	0.031	1.443	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	FALSE	2009	REGION_WB	Middle East & North Africa	22	0	0.136	0	2	3	0.106	2.325	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	FALSE	2009	REGION_WB	North America	4	0	0.5	0.5	1	2	0.44	1.762	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	FALSE	2009	REGION_WB	South Asia	8	0	0.125	0	1	1	0.11	0.881	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	FALSE	2009	REGION_WB	Sub-Saharan Africa	49	0	0.041	0	2	2	0.029	1.444	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	FALSE	2009	REGION_WB		17	0	0	0	0	0	0	0	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	TRUE	2009	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	TRUE	2009	REGION_WB	East Asia & Pacific	43	0	0.698	0.5	5	30	0.54	23.232	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	TRUE	2009	REGION_WB	Europe & Central Asia	60	0	3.658	2	100	219.5	1.337	80.248	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	TRUE	2009	REGION_WB	Latin America & Caribbean	46	0	1.663	0.75	17	76.5	0.813	37.392	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	TRUE	2009	REGION_WB	Middle East & North Africa	22	0	0.955	1	4	21	0.762	16.76	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	TRUE	2009	REGION_WB	North America	4	0	1.5	1	4	6	0.964	3.857	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	TRUE	2009	REGION_WB	South Asia	8	0	0.875	1	1	7	0.771	6.167	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	TRUE	2009	REGION_WB	Sub-Saharan Africa	49	0	1.204	1	5	59	0.852	41.74	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	TRUE	2009	REGION_WB		17	0	0.588	0	6	10	0.359	6.0969999999999995	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	FALSE	2009	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	FALSE	2009	REGION_WB	East Asia & Pacific	43	0	1.767	0	12	76	0.681	29.275	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	FALSE	2009	REGION_WB	Europe & Central Asia	60	0	3.717	1	75	223	1.107	66.449	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	FALSE	2009	REGION_WB	Latin America & Caribbean	46	0	0.109	0	1	5	0.096	4.405	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	FALSE	2009	REGION_WB	Middle East & North Africa	22	0	0.818	0	9	18	0.375	8.25	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	FALSE	2009	REGION_WB	North America	4	0	3.25	3	7	13	1.284	5.136	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	FALSE	2009	REGION_WB	South Asia	8	0	2.25	0	10	18	0.722	5.774	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	FALSE	2009	REGION_WB	Sub-Saharan Africa	49	0	6.673	0	100	327	0.556	27.234	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	FALSE	2009	REGION_WB		17	0	0	0	0	0	0	0	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	TRUE	2009	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	TRUE	2009	REGION_WB	East Asia & Pacific	43	0	6.372	3	39	274	1.618	69.571	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	TRUE	2009	REGION_WB	Europe & Central Asia	60	0	6.067	4	62	364	1.957	117.398	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	TRUE	2009	REGION_WB	Latin America & Caribbean	46	0	8.065	3	67	371	1.853	85.221	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	TRUE	2009	REGION_WB	Middle East & North Africa	22	0	4.273	4	11	94	1.941	42.705	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	TRUE	2009	REGION_WB	North America	4	0	5.25	5.5	10	21	1.95	7.802	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	TRUE	2009	REGION_WB	South Asia	8	6	19.25	11	70	154	3.308	26.463	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	TRUE	2009	REGION_WB	Sub-Saharan Africa	49	0	19.592	9	100	960	2.526	123.787	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Netherlands	TRUE	2009	REGION_WB		17	0	1.471	0	16	25	0.463	7.873	cb8b7c05-d487-4e6e-a940-9e1b9ccf0505
Amsterdam	FALSE	2010	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	FALSE	2010	REGION_WB	East Asia & Pacific	43	0	0.081	0	1	3.5	0.073	3.124	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	FALSE	2010	REGION_WB	Europe & Central Asia	60	0	2.533	0	100	152	0.641	38.471000000000004	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	FALSE	2010	REGION_WB	Latin America & Caribbean	46	0	0.033	0	0.5	1.5	0.031	1.443	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	FALSE	2010	REGION_WB	Middle East & North Africa	22	0	0.136	0	2	3	0.106	2.325	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	FALSE	2010	REGION_WB	North America	4	0	0.5	0.5	1	2	0.44	1.762	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	FALSE	2010	REGION_WB	South Asia	8	0	0.125	0	1	1	0.11	0.881	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	FALSE	2010	REGION_WB	Sub-Saharan Africa	49	0	0.041	0	2	2	0.029	1.444	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	FALSE	2010	REGION_WB		17	0	0	0	0	0	0	0	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	TRUE	2010	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	TRUE	2010	REGION_WB	East Asia & Pacific	43	0	0.581	0.5	3	25	0.495	21.287	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	TRUE	2010	REGION_WB	Europe & Central Asia	60	0	3.458	1.5	100	207.5	1.253	75.171	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	TRUE	2010	REGION_WB	Latin America & Caribbean	46	0	1.217	0.5	13	56	0.704	32.407	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	TRUE	2010	REGION_WB	Middle East & North Africa	22	0	0.977	0.75	5	21.5	0.754	16.576999999999998	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	TRUE	2010	REGION_WB	North America	4	0	1.25	1	3	5	0.895	3.58	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	TRUE	2010	REGION_WB	South Asia	8	0.5	0.812	1	1	6.5	0.731	5.848	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	TRUE	2010	REGION_WB	Sub-Saharan Africa	49	0	0.959	1	6	47	0.686	33.631	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	TRUE	2010	REGION_WB		17	0	0.471	0	4	8	0.335	5.7	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	FALSE	2010	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	FALSE	2010	REGION_WB	East Asia & Pacific	43	0	3.023	0	23	130	0.812	34.899	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	FALSE	2010	REGION_WB	Europe & Central Asia	60	0	5.4	1.5	100	324	1.312	78.735	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	FALSE	2010	REGION_WB	Latin America & Caribbean	46	0	0.174	0	2	8	0.139	6.412	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	FALSE	2010	REGION_WB	Middle East & North Africa	22	0	1.591	0	15	35	0.569	12.516	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	FALSE	2010	REGION_WB	North America	4	0	6.25	5	15	25	1.6	6.4	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	FALSE	2010	REGION_WB	South Asia	8	0	3.75	0	15	30	0.85	6.804	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	FALSE	2010	REGION_WB	Sub-Saharan Africa	49	0	3.857	0	67	189	0.367	17.982	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	FALSE	2010	REGION_WB		17	0	0	0	0	0	0	0	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	TRUE	2010	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	TRUE	2010	REGION_WB	East Asia & Pacific	43	0	7.581	4	54	326	1.723	74.07900000000001	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	TRUE	2010	REGION_WB	Europe & Central Asia	60	0	8	5	76	480	2.231	133.864	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	TRUE	2010	REGION_WB	Latin America & Caribbean	46	0	9.239	4	100	425	2.09	96.159	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	TRUE	2010	REGION_WB	Middle East & North Africa	22	0	7.636	5.5	23	168	2.386	52.489	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	TRUE	2010	REGION_WB	North America	4	0	10.25	10	21	41	2.423	9.693999999999999	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	TRUE	2010	REGION_WB	South Asia	8	10	27	23	81	216	3.764	30.11	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	TRUE	2010	REGION_WB	Sub-Saharan Africa	49	0	19.286	8	85	945	2.389	117.072	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Netherlands	TRUE	2010	REGION_WB		17	0	3.765	0	33	64	0.746	12.679	a57138d4-9f95-46f1-897b-fd1ec8d4d6cf
Amsterdam	FALSE	2011	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	FALSE	2011	REGION_WB	East Asia & Pacific	43	0	0.14	0	1	6	0.125	5.367	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	FALSE	2011	REGION_WB	Europe & Central Asia	60	0	2.533	0	100	152	0.643	38.584	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	FALSE	2011	REGION_WB	Latin America & Caribbean	46	0	0.033	0	0.5	1.5	0.031	1.443	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	FALSE	2011	REGION_WB	Middle East & North Africa	22	0	0.136	0	2	3	0.106	2.325	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	FALSE	2011	REGION_WB	North America	4	0	0.5	0.5	1	2	0.44	1.762	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	FALSE	2011	REGION_WB	South Asia	8	0	0.062	0	0.5	0.5	0.06	0.481	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	FALSE	2011	REGION_WB	Sub-Saharan Africa	49	0	0.041	0	2	2	0.029	1.444	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	FALSE	2011	REGION_WB		17	0	0	0	0	0	0	0	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	TRUE	2011	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	TRUE	2011	REGION_WB	East Asia & Pacific	43	0	0.5	0.5	1	21.5	0.451	19.387	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	TRUE	2011	REGION_WB	Europe & Central Asia	60	0	3.525	1	100	211.5	1.252	75.129	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	TRUE	2011	REGION_WB	Latin America & Caribbean	46	0	1.25	0.5	14	57.5	0.697	32.045	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	TRUE	2011	REGION_WB	Middle East & North Africa	22	0	0.932	0.5	5	20.5	0.717	15.777	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	TRUE	2011	REGION_WB	North America	4	0	1	1	2	4	0.802	3.206	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	TRUE	2011	REGION_WB	South Asia	8	0	0.562	0.5	1	4.5	0.521	4.167	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	TRUE	2011	REGION_WB	Sub-Saharan Africa	49	0	0.847	1	2	41.5	0.708	34.7	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	TRUE	2011	REGION_WB		17	0	0.735	0	5	12.5	0.448	7.612	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	FALSE	2011	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	FALSE	2011	REGION_WB	East Asia & Pacific	43	0	1.884	0	13	81	0.708	30.427999999999997	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	FALSE	2011	REGION_WB	Europe & Central Asia	60	0	5.017	2	100	301	1.325	79.505	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	FALSE	2011	REGION_WB	Latin America & Caribbean	46	0	0.13	0	1	6	0.115	5.286	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	FALSE	2011	REGION_WB	Middle East & North Africa	22	0	1.091	0	11	24	0.472	10.388	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	FALSE	2011	REGION_WB	North America	4	0	3.75	3.5	8	15	1.355	5.42	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	FALSE	2011	REGION_WB	South Asia	8	0	3.875	0	16	31	1.107	8.852	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	FALSE	2011	REGION_WB	Sub-Saharan Africa	49	0	3.878	0	74	190	0.429	21.044	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	FALSE	2011	REGION_WB		17	0	0	0	0	0	0	0	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	TRUE	2011	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	TRUE	2011	REGION_WB	East Asia & Pacific	43	0	4.907	3	32	211	1.534	65.967	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	TRUE	2011	REGION_WB	Europe & Central Asia	60	0	7.567	5	97	454	2.203	132.167	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	TRUE	2011	REGION_WB	Latin America & Caribbean	46	0	9.087	3	100	418	1.931	88.82300000000001	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	TRUE	2011	REGION_WB	Middle East & North Africa	22	0	5.227	3	21	115	2.022	44.493	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	TRUE	2011	REGION_WB	North America	4	0	7.5	7.5	15	30	2.205	8.822	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	TRUE	2011	REGION_WB	South Asia	8	6	13.375	12	29	107	3.165	25.319	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	TRUE	2011	REGION_WB	Sub-Saharan Africa	49	0	13.98	7	72	685	2.349	115.088	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Netherlands	TRUE	2011	REGION_WB		17	0	1.382	0	21	23.5	0.352	5.981	d89a1c19-d54d-481c-98ed-bd75ff0cb825
Amsterdam	FALSE	2012	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	FALSE	2012	REGION_WB	East Asia & Pacific	43	0	0.151	0	1	6.5	0.136	5.848	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	FALSE	2012	REGION_WB	Europe & Central Asia	60	0	2.492	0	100	149.5	0.616	36.977000000000004	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	FALSE	2012	REGION_WB	Latin America & Caribbean	46	0	0.065	0	1	3	0.061	2.8049999999999997	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	FALSE	2012	REGION_WB	Middle East & North Africa	22	0	0.136	0	2	3	0.106	2.325	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	FALSE	2012	REGION_WB	North America	4	0	0.5	0.5	1	2	0.44	1.762	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	FALSE	2012	REGION_WB	South Asia	8	0	0.062	0	0.5	0.5	0.06	0.481	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	FALSE	2012	REGION_WB	Sub-Saharan Africa	49	0	0.02	0	1	1	0.018	0.881	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	FALSE	2012	REGION_WB		17	0	0	0	0	0	0	0	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	TRUE	2012	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	TRUE	2012	REGION_WB	East Asia & Pacific	43	0	0.512	0.5	1	22	0.462	19.868	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	TRUE	2012	REGION_WB	Europe & Central Asia	60	0	3.45	1	100	207	1.234	74.059	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	TRUE	2012	REGION_WB	Latin America & Caribbean	46	0	1.793	0.5	15	82.5	0.832	38.295	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	TRUE	2012	REGION_WB	Middle East & North Africa	22	0	0.864	0.5	4	19	0.7	15.397	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	TRUE	2012	REGION_WB	North America	4	0	0.75	1	1	3	0.661	2.643	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	TRUE	2012	REGION_WB	South Asia	8	0.5	0.688	0.5	1	5.5	0.631	5.048	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	TRUE	2012	REGION_WB	Sub-Saharan Africa	49	0	0.827	1	4	40.5	0.679	33.269	201e832c-9830-4920-a9ec-8f22da4d74f5
Amsterdam	TRUE	2012	REGION_WB		17	0	1.824	0	23	31	0.531	9.027	201e832c-9830-4920-a9ec-8f22da4d74f5
Netherlands	FALSE	2012	REGION_WB	Antarctica	2	0	0	0	0	0	0	0	201e832c-9830-4920-a9ec-8f22da4d74f5
Netherlands	FALSE	2012	REGION_WB	East Asia & Pacific	43	0	1.767	0	14	76	0.663	28.488	201e832c-9830-4920-a9ec-8f22da4d74f5
Netherlands	FALSE	2012	REGION_WB	Europe & Central Asia	60	0	4.858	2	100	291.5	1.28	76.78399999999999	201e832c-9830-4920-a9ec-8f22da4d74f5
Netherlands	FALSE	2012	REGION_WB	Latin America & Caribbean	46	0	0.054	0	0.5	2.5	0.052	2.405	201e832c-9830-4920-a9ec-8f22da4d74f5
Netherlands	FALSE	2012	REGION_WB	Middle East & North Africa	22	0	3.455	0	22	76	1.077	23.704	201e832c-9830-4920-a9ec-8f22da4d74f5
Netherlands	FALSE	2012	REGION_WB	North America	4	0	3.25	2.5	8	13	1.272	5.087999999999999	201e832c-9830-4920-a9ec-8f22da4d74f5
Netherlands	FALSE	2012	REGION_WB	South Asia	8	0	2.625	0	11	21	0.965	7.717	201e832c-9830-4920-a9ec-8f22da4d74f5
Netherlands	FALSE	2012	REGION_WB	Sub-Saharan Africa	49	0	2.633	0	45	129	0.392	19.195	201e832c-9830-4920-a9ec-8f22da4d74f5
