keyword	low_search_volume	YEAR	VAR	VAL	n	hits_min	hits_mean	hits_median	hits_max	hits_sum	hits_asinh_mean	hits_asinh_sum	UID
Amsterdam	TRUE	2013	CONTINENT	Africa	51	0	0.706	0.5	2	36	0.625	31.89	405d6b80-dfda-44b7-8054-ba18081a68b7
Amsterdam	TRUE	2013	CONTINENT	Antarctica	1	0	0	0	0	0	0	0	405d6b80-dfda-44b7-8054-ba18081a68b7
Amsterdam	TRUE	2013	CONTINENT	Asia	50	0	0.72	0.5	3	36	0.637	31.869	405d6b80-dfda-44b7-8054-ba18081a68b7
Amsterdam	TRUE	2013	CONTINENT	Europe	50	0	4.12	1.5	100	206	1.402	70.084	405d6b80-dfda-44b7-8054-ba18081a68b7
Amsterdam	TRUE	2013	CONTINENT	North America	38	0	1.658	1	17	63	0.851	32.352	405d6b80-dfda-44b7-8054-ba18081a68b7
Amsterdam	TRUE	2013	CONTINENT	Oceania	24	0	0.312	0	1	7.5	0.284	6.81	405d6b80-dfda-44b7-8054-ba18081a68b7
Amsterdam	TRUE	2013	CONTINENT	Seven seas (open ocean)	7	0	1	1	4	7	0.677	4.738	405d6b80-dfda-44b7-8054-ba18081a68b7
Amsterdam	TRUE	2013	CONTINENT	South America	13	0	1.538	0.5	12	20	0.787	10.234	405d6b80-dfda-44b7-8054-ba18081a68b7
Amsterdam	TRUE	2013	CONTINENT		17	0	1.824	0	23	31	0.565	9.61	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	FALSE	2013	CONTINENT	Africa	51	0	1.569	0	30	80	0.37	18.871	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	FALSE	2013	CONTINENT	Antarctica	1	0	0	0	0	0	0	0	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	FALSE	2013	CONTINENT	Asia	50	0	1.75	0	10	87.5	0.86	43.016	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	FALSE	2013	CONTINENT	Europe	50	0	3.62	2	65	181	1.222	61.124	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	FALSE	2013	CONTINENT	North America	38	0	2.895	0	100	110	0.279	10.586	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	FALSE	2013	CONTINENT	Oceania	24	0	0.708	0	7	17	0.303	7.268	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	FALSE	2013	CONTINENT	Seven seas (open ocean)	7	0	0	0	0	0	0	0	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	FALSE	2013	CONTINENT	South America	13	0	0.308	0	1	4	0.271	3.524	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	FALSE	2013	CONTINENT		17	0	0	0	0	0	0	0	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	TRUE	2013	CONTINENT	Africa	51	0	5.569	3	29	284	1.824	93.029	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	TRUE	2013	CONTINENT	Antarctica	1	0	0	0	0	0	0	0	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	TRUE	2013	CONTINENT	Asia	50	0	3.39	2.5	16	169.5	1.662	83.104	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	TRUE	2013	CONTINENT	Europe	50	0	5.66	3	62	283	1.982	99.082	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	TRUE	2013	CONTINENT	North America	38	0	10.658	4	95	405	2.082	79.103	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	TRUE	2013	CONTINENT	Oceania	24	0	2.958	0.5	13	71	1.116	26.773	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	TRUE	2013	CONTINENT	Seven seas (open ocean)	7	0	3.714	4	11	26	1.427	9.992	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	TRUE	2013	CONTINENT	South America	13	0	3.385	1	28	44	1.179	15.328	405d6b80-dfda-44b7-8054-ba18081a68b7
Netherlands	TRUE	2013	CONTINENT		17	0	6.912	0	100	117.5	0.753	12.809	405d6b80-dfda-44b7-8054-ba18081a68b7
Amsterdam	FALSE	2014	CONTINENT	Africa	51	0	0.039	0	1	2	0.035	1.762	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	FALSE	2014	CONTINENT	Antarctica	1	0	0	0	0	0	0	0	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	FALSE	2014	CONTINENT	Asia	50	0	0.24	0	2	12	0.196	9.78	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	FALSE	2014	CONTINENT	Europe	50	0	2.99	0	100	149.5	0.725	36.248	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	FALSE	2014	CONTINENT	North America	38	0	0.066	0	1	2.5	0.059	2.243	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	FALSE	2014	CONTINENT	Oceania	24	0	0.125	0	1	3	0.11	2.643	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	FALSE	2014	CONTINENT	Seven seas (open ocean)	7	0	0	0	0	0	0	0	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	FALSE	2014	CONTINENT	South America	13	0	0.192	0	1	2.5	0.179	2.324	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	FALSE	2014	CONTINENT		17	0	0	0	0	0	0	0	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	TRUE	2014	CONTINENT	Africa	51	0	0.686	0.5	2	35	0.614	31.326999999999998	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	TRUE	2014	CONTINENT	Antarctica	1	0	0	0	0	0	0	0	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	TRUE	2014	CONTINENT	Asia	50	0	0.8	0.5	3	40	0.687	34.358	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	TRUE	2014	CONTINENT	Europe	50	0	4.38	2	100	219	1.503	75.152	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	TRUE	2014	CONTINENT	North America	38	0	1.803	1	17	68.5	0.928	35.245	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	TRUE	2014	CONTINENT	Oceania	24	0	0.354	0	1	8.5	0.317	7.61	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	TRUE	2014	CONTINENT	Seven seas (open ocean)	7	0	1.857	1	9	13	0.871	6.099	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	TRUE	2014	CONTINENT	South America	13	0.5	1.615	0.5	10	21	0.913	11.870000000000001	f4f00281-5ca1-438c-968f-1a62676a32bf
Amsterdam	TRUE	2014	CONTINENT		17	0	1.941	0	21	33	0.639	10.868	f4f00281-5ca1-438c-968f-1a62676a32bf
Netherlands	FALSE	2014	CONTINENT	Africa	51	0	5.647	0	76	288	0.666	33.949	f4f00281-5ca1-438c-968f-1a62676a32bf
Netherlands	FALSE	2014	CONTINENT	Antarctica	1	0	0	0	0	0	0	0	f4f00281-5ca1-438c-968f-1a62676a32bf
Netherlands	FALSE	2014	CONTINENT	Asia	50	0	7.13	0.75	45	356.5	1.504	75.22	f4f00281-5ca1-438c-968f-1a62676a32bf
Netherlands	FALSE	2014	CONTINENT	Europe	50	0	7.12	3	100	356	1.613	80.642	f4f00281-5ca1-438c-968f-1a62676a32bf
