date	hits	keyword	geo	gprop	category	UID	GEOUNIT_CODE	GEOUNIT_NAME	GTRENDS_CONCEPT	GTRENDS_MODE	low_search_volume
2007-01-01T00:00:00Z	89	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2007-02-01T00:00:00Z	91	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2007-03-01T00:00:00Z	93	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2007-03-31T23:00:00Z	91	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2007-04-30T23:00:00Z	98	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2007-05-31T23:00:00Z	100	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2007-06-30T23:00:00Z	88	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2007-07-31T23:00:00Z	93	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2007-08-31T23:00:00Z	92	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2007-09-30T23:00:00Z	89	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2007-11-01T00:00:00Z	86	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2007-12-01T00:00:00Z	86	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2008-01-01T00:00:00Z	90	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2008-02-01T00:00:00Z	84	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2008-03-01T00:00:00Z	92	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2008-03-31T23:00:00Z	88	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2008-04-30T23:00:00Z	87	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2008-05-31T23:00:00Z	87	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2008-06-30T23:00:00Z	80	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2008-07-31T23:00:00Z	95	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2008-08-31T23:00:00Z	85	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2008-09-30T23:00:00Z	79	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2008-11-01T00:00:00Z	83	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2008-12-01T00:00:00Z	79	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2009-01-01T00:00:00Z	79	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2009-02-01T00:00:00Z	78	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2009-03-01T00:00:00Z	81	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
2009-03-31T23:00:00Z	82	/m/0vh7g	world	web	0	8fa45ad5-960c-4429-8248-37d4145ab38c	GM0034	Almere	/m/0vh7g	concept	TRUE
